curid,id,name
0,0,百日咳
1,1,苯中毒
2,2,喘息样支气管炎
3,3,成人呼吸窘迫综合征
4,4,大量羊水吸入
5,5,单纯性肺嗜酸粒细胞浸润症
6,6,大叶性肺炎
7,8,二硫化碳中毒
8,9,肺-胸膜阿米巴病
9,10,肺出血－肾炎综合征
10,11,肺放线菌病
11,12,肺泡蛋白沉着症
12,13,肺曲菌病
13,14,放射性肺炎
14,15,肺念珠菌病
15,16,肺大疱
16,17,肺炎球菌肺炎
17,18,肺气肿
18,19,肺泡蛋白质沉积症
19,20,肺炎杆菌肺炎
20,21,肺脓肿
21,22,肺水肿
22,23,非典
23,24,肺栓塞
24,25,肺炎
25,26,肺转移瘤
26,27,肺大泡
27,28,肺炎性假瘤
28,29,肺隐球菌病
29,30,肺癌
30,31,镉中毒
31,32,感冒
32,33,感染性休克
33,34,过敏性休克
34,35,Goodpasture综合征
35,36,过敏性肺炎
36,37,汞中毒
37,38,呼吸道异物
38,39,呼吸性细支气管相关的间质性肺疾病
39,40,呼吸衰竭
40,41,呼吸道合胞病毒肺炎
41,42,减压病
42,43,急性呼吸衰竭
43,44,急性肺脓肿
44,45,军团病
45,46,急性呼吸窘迫综合征
46,47,军团菌病
47,48,结核性脓胸
48,50,咖啡因与氨茶碱中毒
49,51,卡氏肺囊虫肺炎
50,52,咯血
51,54,老年肺炎
52,55,流行性感冒
53,56,免疫缺陷者肺炎
54,57,镍中毒
55,58,铍中毒
56,59,缺血缺氧性脑病
57,60,气胸
58,61,球孢子菌病
59,62,禽流感
60,63,迁延性肺嗜酸粒细胞浸润症
61,64,气管肿瘤
62,65,气管先天性疾病
63,66,气管、支气管狭窄
64,67,乳酸性酸中毒
65,69,手术后和创伤后肺炎
66,70,鼾症
67,71,特发性肺纤维化
68,72,脱屑性间质性肺炎
69,73,特发性阻塞性细支气管炎伴机化性肺炎
70,74,特发性含铁血黄素沉着症
71,75,外源性过敏性肺泡炎
72,76,小儿结核病
73,78,吸入性损伤
74,79,小儿金黄色葡萄球菌肺炎
75,80,小儿急性支气管炎
76,82,小儿急性喉炎
77,83,矽肺
78,84,新生儿窒息
79,85,小儿支原体肺炎
80,86,新生儿肺不张
81,87,小儿感冒
82,88,哮喘
83,89,小儿哮喘
84,91,新生儿呼吸暂停
85,92,先天性肺囊肿
86,93,休克型肺炎
87,94,吸入性肺炎
88,96,哮喘性肺嗜酸粒细胞浸润症
89,97,细菌性肺炎
90,98,新生儿湿肺
91,99,胸壁结核
92,100,乙醚中毒
93,102,衣原体肺炎
94,104,一氧化碳中毒
95,105,阻塞性肺气肿
96,107,支气管扩张
97,109,变应性血管炎
98,110,病毒性心肌炎
99,111,病态窦房结综合征
100,112,川崎病
101,113,穿透性心脏外伤
102,114,窦性停搏
103,115,单心室
104,116,单心房
105,117,单纯性下肢静脉曲张
106,118,动脉硬化
107,119,动脉导管未闭
108,120,窦性心动过速
109,121,动脉瘤
110,122,二尖瓣关闭不全
111,123,二尖瓣狭窄
112,124,二尖瓣脱垂综合征
113,125,二尖瓣环钙化
114,127,风湿性二尖瓣狭窄
115,128,风湿性二尖瓣关闭不全
116,129,肥厚型梗阻性心肌病
117,130,房室管畸形
118,131,法洛四联症
119,132,风湿热
120,133,肺动脉口狭窄
121,134,肥厚型心肌病
122,135,房室传导阻滞
123,136,肺动静脉瘘
124,138,高血压
125,139,冠状动脉终止异常
126,140,冠状动脉异位起源
127,141,感染性心内膜炎
128,142,冠心病
129,143,后天性三尖瓣关闭不全
130,144,后天性动静脉瘘
131,145,间歇性眼球突出症
132,146,急性心肌梗死
133,147,酒精性心肌病
134,149,急性感染性心内膜炎
135,150,急性心包炎
136,151,急性心力衰竭
137,152,甲亢
138,154,克山病
139,155,雷诺病
140,157,缺血性心肌病
