id,name
0,鼻出血
1,发绀
2,抽搐
3,流泪
4,窒息
5,胸闷
6,低热
7,打喷嚏
8,咳嗽
9,溃疡
10,惊厥
11,水肿
12,恐惧
13,紧张
14,充血
15,干咳
16,震颤
17,谵妄
18,休克
19,紫绀
20,腹泻
21,头晕
22,昏迷
23,心悸
24,头痛
25,畏光
26,嗜睡
27,耳鸣
28,恶心
29,腹痛
30,哮鸣音
31,喘息
32,高热
33,气胸
34,焦虑
35,心力衰竭
36,气急
37,乏力
38,纳差
39,胸痛
40,寒战
41,腹胀
42,气喘
43,麻痹
44,躁狂
45,硬化
46,脓肿
47,贫血
48,盗汗
49,消瘦
50,血尿
51,蛋白尿
52,高血压
53,无力
54,疲乏
55,三联征
56,血管炎
57,畏寒
58,咳痰
59,脓痰
60,囊肿
61,肉芽肿
62,肝大
63,菌血症
64,心绞痛
65,急腹症
66,肠胀气
67,疱疹
68,疲劳
69,桶状胸
70,呼吸衰竭
71,捻发音
72,毒血症
73,神志不清
74,C
75,无尿
76,败血症
77,失眠
78,心肌梗死
79,冷汗
80,端坐呼吸
81,三凹征
82,脑脓肿
83,左心衰竭
84,咽痛
85,膈麻痹
86,结节
87,气短
88,臂痛
89,神经痛
90,骨软化症
91,循环衰竭
92,虚脱
93,骨痛
94,尿蛋白
95,糖尿
96,肾结石
97,红晕
98,鼻塞
99,黄视
100,皮疹
101,复视
102,心慌
103,丘疹
104,头昏
105,灼痛
106,抑郁
107,皮炎
108,流产
109,脸红
110,呛咳
111,白痰
112,蜂窝肺
113,眩晕
114,截瘫
115,偏瘫
116,剧痛
117,瘙痒
118,耳聋
119,浮肿
120,黄疸
121,昏睡
122,脓胸
123,心包炎
124,肾衰竭
125,少尿
126,幻觉
127,肌痛
128,腹膜炎
129,噩梦
130,缓脉
131,低血压
132,恶寒
133,血胸
134,利尿
135,晕厥
136,阵挛
137,精神萎靡
138,淋巴结肿大
139,食管瘘
140,木僵
141,厌食
142,打鼾
143,遗尿
144,健忘
145,贫血貌
146,水泡
147,脓疱
148,肠麻痹
149,呻吟
150,疖肿
151,衰弱
152,拒食
153,背痛
154,鼻衄
155,斑丘疹
156,鼻痒
157,奇脉
158,流清涕
159,脑疝
160,呛奶
161,便血
162,斜视
163,猝死
164,冷汗淋漓
165,脾肿大
166,流涎
167,性窒息
168,溶血
169,眼花
170,紫癜
