id,name
0,百日咳
1,苯中毒
2,喘息样支气管炎
3,成人呼吸窘迫综合征
4,大量羊水吸入
5,单纯性肺嗜酸粒细胞浸润症
6,大叶性肺炎
7,大楼病综合征
8,二硫化碳中毒
9,肺-胸膜阿米巴病
10,肺出血－肾炎综合征
11,肺放线菌病
12,肺泡蛋白沉着症
13,肺曲菌病
14,放射性肺炎
15,肺念珠菌病
16,肺大疱
17,肺炎球菌肺炎
18,肺气肿
19,肺泡蛋白质沉积症
20,间质性膀胱炎
21,继发性痛经
22,卵巢破裂
23,单眼双下转肌麻痹
24,急性风湿热肾损害
25,急性肾盂肾炎
26,新生儿窒息
27,尺管综合征
28,慢性宫颈炎
29,对苯二胺皮炎
30,婴儿痤疮
31,小儿支原体肺炎
32,新生儿侵袭性大肠杆菌肠炎
33,点状内层脉络膜病变
34,霉菌性外阴炎
35,婴儿肌纤维瘤病
36,急性肾功能衰竭
37,急性肾小管坏死
38,单侧肾缺如
39,间质性肾炎
40,急进性肾炎
41,丹毒丝菌病
42,近端(Ⅱ型)肾小管性酸中毒
43,慢性子宫内膜炎
44,肝胃不和
45,伤口肉毒症
46,急性肾炎
47,新生儿肺不张
48,急性肾小管间质性肾炎
49,马尔堡病毒病
50,婴儿期短暂性低丙球蛋白血症
51,肺炎杆菌肺炎
52,肺脓肿
53,肺水肿
54,非典
55,肺栓塞
56,肺炎
57,肺转移瘤
58,肺大泡
59,肺炎性假瘤
60,肺隐球菌病
61,肺癌
62,镉中毒
63,感冒
64,感染性休克
65,过敏性休克
66,Goodpasture综合征
67,过敏性肺炎
68,汞中毒
69,呼吸道异物
70,呼吸性细支气管相关的间质性肺疾病
71,呼吸衰竭
72,呼吸道合胞病毒肺炎
73,减压病
74,急性呼吸衰竭
75,急性肺脓肿
76,军团病
77,急性呼吸窘迫综合征
78,军团菌病
79,结核性脓胸
80,金黄色葡萄球菌肺炎
81,咖啡因与氨茶碱中毒
82,卡氏肺囊虫肺炎
83,咯血
84,硫化氢中毒
85,老年肺炎
86,流行性感冒
87,免疫缺陷者肺炎
88,镍中毒
89,铍中毒
90,缺血缺氧性脑病
91,气胸
92,球孢子菌病
93,禽流感
94,迁延性肺嗜酸粒细胞浸润症
95,气管肿瘤
96,气管先天性疾病
97,气管、支气管狭窄
98,乳酸性酸中毒
99,热带性肺嗜酸粒细胞浸润症
100,手术后和创伤后肺炎
101,鼾症
102,特发性肺纤维化
103,脱屑性间质性肺炎
104,特发性阻塞性细支气管炎伴机化性肺炎
105,特发性含铁血黄素沉着症
106,外源性过敏性肺泡炎
107,小儿结核病
108,新生儿呼吸窘迫综合征
109,吸入性损伤
110,小儿金黄色葡萄球菌肺炎
111,小儿急性支气管炎
112,小儿流行性感冒
113,小儿急性喉炎
114,矽肺
115,小儿感冒
116,哮喘
117,小儿哮喘
118,小儿肺炎
119,新生儿呼吸暂停
120,先天性肺囊肿
121,休克型肺炎
122,吸入性肺炎
123,腺病毒肺炎
124,哮喘性肺嗜酸粒细胞浸润症
125,细菌性肺炎
126,新生儿湿肺
127,胸壁结核
128,乙醚中毒
129,淹溺
130,衣原体肺炎
131,羊水与胎粪吸入综合征
132,一氧化碳中毒
133,阻塞性肺气肿
134,支原体肺炎
135,支气管扩张
136,支气管肺炎
137,变应性血管炎
138,病毒性心肌炎
139,病态窦房结综合征
140,川崎病
141,穿透性心脏外伤
142,窦性停搏
143,单心室
144,单心房
145,单纯性下肢静脉曲张
146,动脉硬化
147,动脉导管未闭
148,窦性心动过速
149,动脉瘤
150,二尖瓣关闭不全
151,二尖瓣狭窄
152,二尖瓣脱垂综合征
153,二尖瓣环钙化
154,肺性脑病
155,风湿性二尖瓣狭窄
156,风湿性二尖瓣关闭不全
157,肥厚型梗阻性心肌病
158,房室管畸形
159,法洛四联症
160,风湿热
161,肺动脉口狭窄
162,肥厚型心肌病
163,房室传导阻滞
164,肺动静脉瘘
165,高血压危象
166,高血压
167,冠状动脉终止异常
168,冠状动脉异位起源
169,感染性心内膜炎
170,冠心病
171,后天性三尖瓣关闭不全
172,后天性动静脉瘘
173,间歇性眼球突出症
174,急性心肌梗死
175,酒精性心肌病
176,急性心功能不全
177,急性感染性心内膜炎
178,急性心包炎
179,急性心力衰竭
180,甲亢
181,扩张型心肌病
182,克山病
183,雷诺病
184,慢性肺源性心脏病
185,缺血性心肌病
186,四肢血栓性浅静脉炎
187,三尖瓣下移畸形
188,三尖瓣狭窄
189,三尖瓣关闭不全
190,三尖瓣闭锁
191,三房心
192,颈动脉体瘤
193,完全性肺静脉异位回流
194,完全性大动脉错位
195,休克
196,新生儿缺氧缺血性脑病
197,新生儿硬肿症
198,血管瘤
199,先天性风疹
200,血栓闭塞性脉管炎
201,胸降主动脉动脉瘤
202,胸主动脉夹层动脉瘤
203,心脏神经官能症
204,心内膜弹性纤维增生症
205,心绞痛
206,心肌梗塞并发心室间隔穿破
207,心肌梗塞并发二尖瓣关闭不全
208,心肌梗死
209,心功能障碍
210,心包囊肿
211,小儿高血压
212,小儿充血性心力衰竭
213,心肌梗塞并发左心室室壁瘤
214,先天性主动脉缩窄
215,先天性主动脉弓畸形
216,先天性主动脉瓣下狭窄
217,先天性主动脉瓣上狭窄
218,先天性动脉导管未闭
219,先天性动静脉瘘
220,先天性二尖瓣畸形
221,心包积液
222,心肌病
223,心律失常
224,限制型心肌病
225,心房扑动与心房颤动
226,心室内传导阻滞
227,先天性主动脉瓣窦动脉瘤破裂
228,心包肿瘤
229,血管运动性鼻炎
230,胸腔积液
231,心肌炎
232,心脏内粘液瘤
233,心室间隔缺损
234,羊水过多
